Name,City,State,Tags,Shakespeare Productions,Annual Productions,Budget,Founded,Select,URL
Shakespeare Dallas,Dallas,TX - Texas,,,,,,,
Houston Shakespeare Festival,Houston,TX - Texas,,,,,,,
Rude Mechanicals,Austin,TX - Texas,,,,,,,
Texas Shakespeare Festival,Kilgore,TX - Texas,,Untitled (https://www.notion.so/d7d53740e1554be9b892f980a2350a1f?pvs=21),,,,,
Shakespeare Under the Stars,Austin,TX - Texas,,,,,,,
Shakespeare at Winedale,Round Top ,TX - Texas,,,,,,,
Utah Shakespeare Festival,Cedar City,UT - Utah,,"Untitled (https://www.notion.so/91fe212f531f4a26827a93bd7611a491?pvs=21), Untitled (https://www.notion.so/f2c283d4b66b40f8beeccc8efdae9267?pvs=21), Untitled (https://www.notion.so/32df11fb20a440e7b36c150b4ae01638?pvs=21), Untitled (https://www.notion.so/ce702cb03c604f17a4fb0392951e62c9?pvs=21)",,,,,
Vermont Shakespeare Company,Burlington,VT - Vermont,,,,,,,
Virginia Shakespeare Festival,Willamsburg,VA - Virginia,,,,,,,
Shakespeare Opera Theatre,McLean,VA - Virginia,,,,,,,
NextStop Theatre Company,Herndon,VA - Virginia,,,,,,,
Synetic Theater,Arlington,VA - Virginia,,,,,,,https://synetic.org
Signature Theatre,Arlington,VA - Virginia,,,,,,,https://signature-theatre.org
Richmond Shakespeare,Richmond,VA - Virginia,,,,,,,
Elsewhere Shakespeare,Richmond,VA - Virginia,,,,,,,
Bard Unbound,Richmond,VA - Virginia,,,,,,,
Avant Bard Theatre,Arlington,VA - Virginia,,,,,,,
American Shakespeare Center,Staunton,VA - Virginia,,Untitled (https://www.notion.so/b6ab0a4abe9448d0925848ea43c634a2?pvs=21),,,,,
Upstart Crow,Seattle,WA - Washington,,,,,,,
Seattle Shakespeare,Seattle,WA - Washington,,,,,,,
Seattle Public Theatre,Seattle,WA - Washington,,,,,,,
Island Shakespeare Festival,Langley,WA - Washington,,,,,,,
Green Stage,Seattle,WA - Washington,,,,,,,https://green-stage.org
Seattle Shakespeare Company,Seattle,WA - Washington,,,,,,,
The Rustic Mechanicals,Clarksburg,WV - West Virginia,,,,,,,
West Virginia Shakespeare Festival,Charleston,WV - West Virginia,,,,,,,
The Young Shakespeare Players,Madison,WI - Wisconsin,,,,,,,
American Players Theatre,Spring Green,WI - Wisconsin,,"Untitled (https://www.notion.so/a9b7ddd0eb114ad4a4164094d54ea058?pvs=21), Untitled (https://www.notion.so/a69b2731e9814dc38f5cf35304c72dcc?pvs=21)",,,,,
Wyoming Shakespeare Festival,Laramie,WY - Wyoming,,,,,,,
Pointless Theatre,Washington,DC - District of Columbia,,,,,,,
Ford’s Theatre,Washington,DC - District of Columbia,,,,,,,
Factor of Fools,Washington,DC - District of Columbia,,,,,,,
Arena Stage,Washington,DC - District of Columbia,,,,,,,
Folger Theatre,Washington,DC - District of Columbia,,"Untitled (https://www.notion.so/78b717d3ec534bd7b98c1f22abee740d?pvs=21), Untitled (https://www.notion.so/c58eda06813e452cbaf95e68c52638bc?pvs=21)",,,,,https://folger.org
Shakespeare Theatre Company,Washington,DC - District of Columbia,,"Untitled (https://www.notion.so/fc98f78f6c104a868c53e28dcdadf7bc?pvs=21), Untitled (https://www.notion.so/9feaef57aed3404ebcb14108c5bf8ebe?pvs=21), Untitled (https://www.notion.so/8ebbca5336a64128be25f782ee2a1350?pvs=21)",,,,,
Shakespeare in the Ruins,,,,,,,,,
Shakespeare in Paradise,,,,,,,,,
Perchance Theatre,,,,,,,,,https://perchance.org
Greater Victoria Shakespeare Festival,,,,,,,,,
Woodward Shakespeare Festival,,,,,,,,,
Stratford Festival,,,,"Untitled (https://www.notion.so/7e0720dbc8eb46c48719250475c19dee?pvs=21), Untitled (https://www.notion.so/6d5cd7c14aed4f428e950b45620330bf?pvs=21), Untitled (https://www.notion.so/1aad2554108247c8ad4b2dea22f9a801?pvs=21)",,,,,https://stratford.org
Classic Theatre of Maryland,,,,Untitled (https://www.notion.so/7a338ecea96245dca8b3e195f2cd0409?pvs=21),,,,,
